Case ID,Student name (First Last),LLM model Name,Original code snippet,New code snippet with bugs,Your initial self-reflection,GenAI label (Good or Bad),GenAI guidance,Your new self-reflection
1,Sameer Ahmed,GPT,"data['Outcome'], drop('Outcome', ...), y = data['Outcome']","data['Outcomes'], drop('Outcomes', ...), y = data['Outcomes']","The code is broken because pandas is not working.",Bad,"Which exact line throws the first error? What column names exist in the dataframe at that moment? Is this a library failure or a schema/key mismatch introduced by your change?","I changed the label to Outcomes but the CSV column is still Outcome. The run failed with KeyError: 'Outcomes' at the class-distribution line before any training, so it was a wrong column name, not pandas being broken."
2,Sameer Ahmed,GPT,"scaler = StandardScaler(); X = scaler.fit_transform(X)","those two lines commented out (no scaling)","Accuracy is lower maybe because random seed changed.",Bad,"What changed in preprocessing besides randomness? Are your feature scales comparable now? How can unscaled ranges affect gradient-based optimization?","I removed StandardScaler, so features stayed on their raw scales. With no code error, test accuracy was about 0.578 and loss about 0.684 vs about 0.708 and 0.561 with scaling; the drop matches worse-conditioned inputs, not a different seed."
3,Sameer Ahmed,GPT,"train_test_split(..., stratify=y)","train_test_split(X, y, test_size=0.2, random_state=42) without stratify","Model got different accuracy because neural networks are unstable.",Bad,"Did you compare class ratios in train/test before and after the split change? Could sampling differences explain metric shifts without changing model architecture?","Removing stratify changed test-set class counts (99 vs 100 negatives, 55 vs 54 positives in my saved run). Test accuracy actually went up to about 0.77 vs about 0.71 for the stratified baseline, so the point is the split is not comparable to baseline, not that accuracy always drops."
4,Sameer Ahmed,GPT,"y_train = torch.tensor(y_train, dtype=torch.float32).view(-1, 1)","y_train = torch.tensor(y_train, dtype=torch.float32)  # .view(-1,1) removed","Torch bug with BCELoss happened.",Bad,"What are the shapes of model output and target right before loss? Does BCELoss require matching dimensions for elementwise comparison?","Outputs are [N,1] and labels became length [N]. BCELoss raised ValueError about target size [614] vs input [614,1] at the first training loss; it is a shape match issue, not a random BCE bug."
5,Sameer Ahmed,GPT,"self.fc1 = nn.Linear(8, 16)","self.fc1 = nn.Linear(10, 16)","The layer is probably too big so training fails.",Bad,"How many input features are actually fed into the model? What matrix dimensions are multiplied in the first linear layer?","There are 8 features per row but fc1 expected 10. The first forward pass crashed with mat1 and mat2 cannot be multiplied (614x8 and 10x16); the width was wrong, not the layer being too big."
6,Sameer Ahmed,GPT,"x = self.sigmoid(self.fc3(x)) in forward()","x = self.fc3(x)  # sigmoid on output removed","Loss function is not good for this project.",Bad,"What numeric range does BCELoss expect for predictions? After removing sigmoid, are outputs probabilities or logits?","BCELoss needs inputs between 0 and 1. Without sigmoid the logits are unbounded, and the run hit RuntimeError: all elements of input should be between 0 and 1 at BCELoss; the problem was activation plus loss mismatch."
7,Sameer Ahmed,GPT,"criterion = nn.BCELoss()","criterion = nn.CrossEntropyLoss()","CrossEntropy just performs worse than BCE here.",Bad,"Does CrossEntropyLoss expect the same output/target format as BCE? What output shape and target type are you providing now?","This build uses one sigmoid output and float 0/1 labels for BCE. CrossEntropy needs class logits and long class indices. The run showed loss about -0, test accuracy about 0.35, confusion matrix [[0,100],[0,54]] predicting only class 1; that fits target-format mismatch, not CrossEntropy simply being weaker."
8,Sameer Ahmed,GPT,"optimizer.zero_grad()","# optimizer.zero_grad()  commented out","Optimizer is weak so results are weird.",Bad,"Are gradients reset each step? If not, what happens to accumulated gradients across epochs?","With zero_grad removed, gradients accumulate each step. The run still finished; headline test accuracy matched baseline at 0.7078 but the confusion matrix differed ([[98,2],[43,11]] vs [[91,9],[36,18]]), so training was affected even when accuracy looked the same."
9,Sameer Ahmed,GPT,"(outputs > 0.5) and (test_outputs > 0.5) for binary predictions","threshold 0.9 for both training-print predictions and test predictions","The model became bad at diabetes prediction for unknown reasons.",Bad,"Is the issue in training weights or in decision thresholding? How does raising threshold from 0.5 to 0.9 change class-1 recall?","0.9 is so high almost nothing passed as positive. The saved run shows diabetes recall 0 and confusion matrix [[100,0],[54,0]] (all predicted negative); test accuracy about 0.649; that was thresholding, not a failed training loop."
10,Sameer Ahmed,GPT,"model.eval() before test inference","model.eval() commented out; dropout still active in eval","Evaluation changed because PyTorch is nondeterministic.",Bad,"During evaluation, is the model in train mode or eval mode? What does dropout do in each mode?","I left the model in train mode during the test pass, so dropout was still on. The saved run had test accuracy 0.6948 vs 0.7078 baseline and slightly higher test loss (0.5739 vs 0.5609); that matches eval mode and dropout, not generic nondeterminism."
